골프장명,루프명,홀번호,Par
(주) 파주컨트리클럽,동코스,1,4
(주) 파주컨트리클럽,동코스,2,4
(주) 파주컨트리클럽,동코스,3,3
(주) 파주컨트리클럽,동코스,4,5
(주) 파주컨트리클럽,동코스,5,3
(주) 파주컨트리클럽,동코스,6,5
(주) 파주컨트리클럽,동코스,7,4
(주) 파주컨트리클럽,동코스,8,4
(주) 파주컨트리클럽,동코스,9,4
(주) 파주컨트리클럽,서코스,1,4
(주) 파주컨트리클럽,서코스,2,4
(주) 파주컨트리클럽,서코스,3,5
(주) 파주컨트리클럽,서코스,4,3
(주) 파주컨트리클럽,서코스,5,4
(주) 파주컨트리클럽,서코스,6,4
(주) 파주컨트리클럽,서코스,7,3
(주) 파주컨트리클럽,서코스,8,5
(주) 파주컨트리클럽,서코스,9,4
글렌로스골프클럽,아웃코스,1,5
글렌로스골프클럽,아웃코스,2,4
글렌로스골프클럽,아웃코스,3,3
글렌로스골프클럽,아웃코스,4,4
글렌로스골프클럽,아웃코스,5,4
글렌로스골프클럽,아웃코스,6,4
글렌로스골프클럽,아웃코스,7,3
글렌로스골프클럽,아웃코스,8,4
글렌로스골프클럽,아웃코스,9,5
글렌로스골프클럽,인코스,1,5
글렌로스골프클럽,인코스,2,4
글렌로스골프클럽,인코스,3,3
글렌로스골프클럽,인코스,4,4
글렌로스골프클럽,인코스,5,4
글렌로스골프클럽,인코스,6,4
글렌로스골프클럽,인코스,7,3
글렌로스골프클럽,인코스,8,4
글렌로스골프클럽,인코스,9,5
월송리 컨트리클럽,전반,1,5
월송리 컨트리클럽,전반,2,4
월송리 컨트리클럽,전반,3,3
월송리 컨트리클럽,전반,4,4
월송리 컨트리클럽,전반,5,4
월송리 컨트리클럽,전반,6,5
월송리 컨트리클럽,전반,7,4
월송리 컨트리클럽,전반,8,3
월송리 컨트리클럽,전반,9,4
월송리 컨트리클럽,후반,1,4
월송리 컨트리클럽,후반,2,5
월송리 컨트리클럽,후반,3,3
월송리 컨트리클럽,후반,4,5
월송리 컨트리클럽,후반,5,4
월송리 컨트리클럽,후반,6,4
월송리 컨트리클럽,후반,7,4
월송리 컨트리클럽,후반,8,3
월송리 컨트리클럽,후반,9,4
